text,label
Miejski Zarząd Dróg planuje remont al. Jerozolimskich,1
Urząd Miasta ogłasza konkurs na renowację,1
Szpital uniwersytecki raportuje sukces terapii immunoterapii,1
Prezydent podpisuje ustawę dotyczącą cyfryzacji,1
Badanie opublikowane w polskim czasopiśmie naukowym pokazuje czynniki ryzyka choroby,1
Narodowy Bank Polski utrzymuje stopy procentowe,1
Straż Miejska publikuje statystyki przestępczości,1
Badania kliniczne potwierdzają skuteczność szczepionki,1
Szpital uniwersytecki raportuje sukces terapii terapii regeneracyjnej,1
Uniwersytet Wrocławski otrzymuje grant na badania ochrony zdrowia,1
Straż Miejska publikuje statystyki przestępczości,1
Badania kliniczne potwierdzają skuteczność leku onkologicznego,1
Giełda Papierów Wartościowych notuje wzrost w sektorze medycznym,1
GUS publikuje dane o energetyki,1
Rada Ministrów przyjmuje program cyfryzacji,1
Straż Miejska publikuje statystyki przestępczości,1
Straż Pożarna interweniowała przy kolizji,1
Ministerstwo Finansów ogłasza nową program dotyczącą energetyki,1
Podpisano umowę handlową z USA,1
Giełda Papierów Wartościowych notuje wzrost w sektorze budowlanym,1
Narodowy Bank Polski utrzymuje stopy procentowe,1
Komisja sejmowa dyskutuje nad ochrony zdrowia,1
GUS: Bezrobocie spadło w kilku miesięcy,1
Miejski Zarząd Dróg planuje remont al. Jerozolimskich,1
Politechnika Warszawska otrzymuje grant na badania ochrony środowiska,1
Muzeum organizuje wystawę poświęconą cyfryzacji,1
Urząd Miasta ogłasza konkurs na rozwój,1
Uniwersytet Wrocławski otrzymuje grant na badania infrastruktury,1
Biblioteka otwiera nowy oddział w Woli,1
Naukowcy z Politechnika Warszawska odkrywają związek między stylem życia a zdrowiem,1
Badanie opublikowane w Nature pokazuje poprawę wyników leczenia,1
Urząd Miasta ogłasza konkurs na renowację,1
Prezydent podpisuje ustawę dotyczącą cyfryzacji,1
Ministerstwo Edukacji i Nauki wprowadza program wymiany,1
Premier zapowiada zmiany w energetyki,1
Szpital uniwersytecki raportuje sukces terapii terapii regeneracyjnej,1
Prezydent podpisuje ustawę dotyczącą bezpieczeństwa publicznego,1
Straż Miejska publikuje statystyki przestępczości,1
Komisja sejmowa dyskutuje nad bezpieczeństwa publicznego,1
Miejski Zarząd Dróg planuje remont ul. Polnej,1
Miejski Zarząd Dróg planuje remont ul. Głównej,1
Naukowcy z Uniwersytet Wrocławski odkrywają czynniki ryzyka choroby,1
Miejski Zarząd Dróg planuje remont ul. Głównej,1
Miejski Zarząd Dróg planuje remont al. Jerozolimskich,1
Sejm uchwala ustawę o bezpieczeństwa publicznego,1
Badania kliniczne potwierdzają skuteczność terapii genowej,1
Badanie opublikowane w The Lancet pokazuje związek między stylem życia a zdrowiem,1
Podpisano umowę handlową z USA,1
Biblioteka otwiera nowy oddział w Mokotowie,1
Straż Miejska publikuje statystyki przestępczości,1
Badania kliniczne potwierdzają skuteczność leku onkologicznego,1
